CompanyName,Codes
Autoline Industries Ltd.,532797
Autolite (india) Ltd.,500029
Automobile Corporation Of Goa Ltd.-$,505036
Automotive Axles Ltd.,505010
Automotive Stampings & Assemblies Ltd.,520119
Autoriders Finance Ltd.,500030
Autoriders International Ltd.,512277
Available Finance Ltd.,531310
Avance Technologies Ltd.,512149
Avantel Ltd.,532406
Avanti Feeds Ltd.-$,512573
Avi Photochem Ltd.,523896
Avi Polymers Ltd,539288
Aviva Industries Ltd.,512109
Avon Corporation Ltd.,532995
Avon Lifesciences Ltd-$,531541
Avonmore Capital & Management Services Limited,511589
Avt Natural Products Ltd.,519105
Avtil Enterprise Ltd,504390
Axel Polymers Ltd.,513642
Axis Bank Ltd.,532215
Axiscades Engineering Technologies Ltd,532395
Axon Ventures Ltd,505506
Axtel Industries Ltd.,523850
Aym Syntex Ltd,508933
Ayoki Mercantile Ltd.,512063
Azure Exim Services Ltd.,531783
B & A Ltd.,508136
B&a Packaging India Limited,523186
B&b Realty Limited,506971
B. P. Capital Ltd,536965
B.a.g.films & Media Ltd.,532507
B.c. Power Controls Ltd,537766
B.l.kashyap And Sons Ltd.,532719
B.n.rathi Securities Ltd.,523019
B.nanji Enterprises Ltd.,526594
B2b Software Technologies Ltd.,531268
Baba Arts Ltd.-$,532380
Bacil Pharma Ltd.,524516
Bafna Pharmaceuticals Ltd.,532989
Bagadia Colourchem Ltd.,530197
Baid Leasing And Finance Co.ltd.,511724
Bajaj Auto Ltd.,532977
Bajaj Corp Ltd.,533229
Bajaj Electricals Ltd.-$,500031
Bajaj Finance Limited,500034
Bajaj Finserv Ltd.,532978
Bajaj Global Ltd.,512261
Bajaj Hindusthan Sugar Limited,500032
Bajaj Holdings & Investment Ltd.,500490
Bajaj Steel Industries Ltd.,507944
Bajrang Finance Ltd.,511139
Bal Pharma Ltd.,524824
Bala Techno Global Ltd.,511395
Bala Techno Industries Ltd.,514199
Balaji Amines Ltd.-$,530999
Balaji Telefilms Ltd.,532382
Balasore Alloys Ltd.,513142
Balkrishna Industries Ltd.-$,502355
Ballarpur Industries Ltd.,500102
Balmer Lawrie & Co.ltd.,523319
Balmer Lawrie Investments Ltd.,532485
Balrampur Chini Mills Ltd.,500038
Balurghat Technologies Ltd.,520127
Bambino Agro Industries Ltd.,519295
Bampsl Securities Ltd.,531591
Banaras Beads Ltd.,526849
Banas Finance Ltd.,509053
Banco Products (india) Ltd.-$,500039
Bang Overseas Ltd.,532946
Bangalore Fort Farms Ltd,539120
Bank Of Baroda,532134
Bank Of India,532149
Bank Of Maharashtra,532525
Bannari Amman Spinning Mills Ltd.,532674
Bannari Amman Sugars Ltd.,500041
Bansal Roofing Products Ltd,538546
Banswara Syntex Ltd.-$,503722
Barak Valley Cements Ltd.,532916
Baroda Extrusion Ltd.,513502
Baron Infotech Ltd.,532336
Bartronics India Ltd.,532694
Basant Agro Tech (india) Ltd.-$,524687
Basf India Ltd.,500042
Basil Infrastructure Projects Ltd.,511210
Bata India Ltd.,500043
Batliboi Ltd.-$,522004
Bayer Cropscience Ltd.,506285
Bcc Fuba India Ltd.,517246
Bcl Industries And Infrastructures Ltd-$,524332
Bdh Industries Ltd.,524828
Beardsell Ltd,539447
Beckons Industries Ltd.,531937
Bedmutha Industries Ltd.,533270
Beekay Steel Industries Ltd,539018
Beeyu Overseas Ltd.,532645
Bell Agromachina Ltd.,531112
Bella Casa Fashion & Retail Ltd,539399
Bemco Hydraulics Ltd.,522650
Beml Ltd.,500048
Benares Hotels Ltd.,509438
Bengal & Assam Company Ltd.,533095
Bengal Tea & Fabrics Ltd.,532230
Bentley Commercial Enterprises Ltd.,512195
Benzo Petro International Ltd.,524737
Berger Paints India Ltd.,509480
Bervin Investment & Leasing Ltd.,531340
Beryl Drugs Ltd.,524606
Beryl Securities Ltd.,531582
Best & Crompton Engg.ltd.,500046
Best Eastern Hotels Ltd.,508664
Beta-kappa Investments Ltd.,531481
Betex India Ltd.,512477
Bf Investment Ltd.,533303
Bf Utilities Ltd.-$,532430
Bgil Films & Technologies Ltd.,511664
Bgr Energy Systems Ltd.,532930
Bhagawati Gas Limited,500051
Bhageria Industries Ltd,530803
Bhagiradha Chemicals & Industries Ltd.,531719
Bhagwandas Metals Ltd.,530095
Bhagwati Autocast Ltd.,504646
Bhagwati Oxygen Ltd.,509449
Bhagyanagar India Ltd.,512296
Bhagyashree Leasing & Finance Ltd.,511698
Bhagyodaya Infrastructure Development Ltd,501233
Bhandari Hosiery Exports Ltd.,512608
Bhanderi Infracon Ltd,538576
Bhanot Construction & Housing Ltd.,534740
Bhansali Engineering Polymers Ltd.-$,500052
Bharat Agri Fert & Realty Ltd.,531862
Bharat Bhushan Share & Commodity Brokers Ltd.,511501
Bharat Bijlee Ltd.-$,503960
Bharat Electronics Ltd.,500049
Bharat Forge Ltd.,500493
Bharat Gears Ltd.,505688
Bharat Heavy Electricals Ltd.,500103
Bharat Immunologicals & Biologicals Corporation Ltd.-$,524663
Bharat Petroleum Corporation Ltd.,500547
Bharat Rasayan Ltd.,590021
Bharat Seats Ltd.-$,523229
Bharat Textiles & Proofing Industries Ltd.,531029
Bharati Shipyard Ltd.,532609
Bharatiya Global Infomedia Ltd.,533499
Bharti Airtel Ltd.,532454
Bharti Infratel Ltd.,534816
Bhartiya International Ltd.,526666
Bheema Cements Ltd.,518017
Bhilwara Spinners Ltd.,514272
Bhilwara Technical Textiles Ltd.,533108
Bhilwara Tex-fin Ltd.,530879
Bhoruka Aluminium Ltd.,506027
Bhushan Steel Ltd.,500055
Bhuwalka Steel Industries Ltd.-$,513333
Bihar Sponge Iron Ltd.,500058
Bijlee Textiles Ltd.,512313
Bijoy Hans Ltd.,524723
Bil Energy Systems Ltd.,533321
Bilcare Ltd.-$,526853
Bilpower Ltd.,531590
Bimetal Bearings Ltd.-$,505681
Binani Industries Ltd.,500059
Binayak Tex Processors Ltd.,523054
Binny Ltd.,514215
Binny Mills Ltd.,535620
Bio Green Papers Ltd,534535
Biocon Ltd.,532523
Biofil Chemicals & Pharmaceuticals Ltd.,524396
Biopac India Corporation Ltd.-$,532330
Birdhi Chand Pannalal Agencies Ltd,538364
Birla Capital & Financial Services Ltd.,512332
Birla Corporation Ltd.,500335
Birla Cotsyn (india) Ltd.,533006
Birla Ericsson Optical Ltd.,500060
Birla Pacific Medspa Ltd.,533469
Birla Power Solutions Ltd.-$,517001
Birla Precision Technologies Ltd.,522105
Birla Shloka Edutech Ltd.,511607
Birla Sun Life Focused Equity Fund - Series 3 - Direct Plan - Dividend Payout,538758
Birla Sun Life Focused Equity Fund - Series 3 - Direct Plan - Growth,538757
Birla Sun Life Focused Equity Fund - Series 3 - Regular Plan - Dividend Payout,538756
Birla Sun Life Focused Equity Fund - Series 3- Regular Plan - Growth,538755
Birla Sun Life Focused Equity Fund - Series 4 - Direct Plan - Dividend Payout,538844
Birla Sun Life Focused Equity Fund - Series 4 - Direct Plan - Growth,538843
Birla Sun Life Focused Equity Fund - Series 4 - Regular Plan - Dividend Payout,538842
Birla Sun Life Focused Equity Fund - Series 4- Regular Plan - Growth,538841
Birla Sun Life Focused Equity Fund - Series 5 - Direct Plan - Dividend Payout,539055
Birla Sun Life Focused Equity Fund - Series 5 - Direct Plan - Growth,539054
Birla Sun Life Focused Equity Fund - Series 5 - Regular Plan - Dividend Payout,539053
Birla Sun Life Focused Equity Fund - Series 5- Regular Plan - Growth,539052
Birla Sun Life Focused Equity Fund- Series 6- Direct Plan- Dividend Payout,539423
Birla Sun Life Focused Equity Fund- Series 6- Direct Plan- Growth,539422
Birla Sun Life Focused Equity Fund- Series 6- Regular Plan- Dividend Payout,539421
Birla Sun Life Focused Equity Fund- Series 6- Regular Plan- Growth,539420
Birla Sun Life Mutual Fund - Birla Sun Life Focused Equity Fund - Series 1 - Direct Plan - Growth,537646
Birla Sun Life Mutual Fund - Birla Sun Life Focused Equity Fund-series 1-direct Plan-dividnd Payot,537647
Birla Sun Life Mutual Fund- Birla Sun Life Focused Equity Fund - Series 1 - Regular Plan - Growth,537644
Birla Sun Life Mutual Fund- Birla Sun Life Focused Equity Fund - Series 2 - Direct Plan - Growth,538017
Birla Sun Life Mutual Fund- Birla Sun Life Focused Equity Fund - Series 2 - Direct Plan-dividend P,538018
Birla Sun Life Mutual Fund- Birla Sun Life Focused Equity Fund - Series 2 - Regular Plan - D P,538016
Birla Sun Life Mutual Fund- Birla Sun Life Focused Equity Fund - Series 2 - Regular Plan - Growth,538015
Birla Sun Life Mutual Fund- Birla Sun Life Focused Equity Fund-series 1-regular Plan-divind Payot,537645
Birla Transasia Carpets Ltd.,503823
Bisil Plast Limited,531671
Bits Ltd.,526709
Bkv Industries Ltd.,519500
Black Rose Industries Ltd.,514183
